1630680780000.0, 50612.79, 50612.79, 50565.63, 50582.65, SELL
1630681200000.0, 50690.83, 50690.85, 50661.19, 50681.43, SELL
1630681380000.0, 50737.26, 50743.9, 50704.88, 50709.95, SELL
1630681620000.0, 50752.45, 50755.57, 50700.01, 50729.09, SELL
11, Entry Short, Sell, 07/09/2021 12:59:09, 51018.31, Exit Short, Sell, 07/09/2021 12:59:19, 50999.29000000, SELL Percent Trail
11, Entry Short, Sell, 07/09/2021 13:06:07, 51006.05, Exit Short, Sell, 07/09/2021 13:06:45, 51017.76000000, SELL Percent Stop Loss
1, Entry Long, Buy, 07/09/2021 13:24:07, 51074.92, Exit Long, Buy, 07/09/2021 13:24:16, 51060.00000000, BUY Percent Stop Loss
11, Entry Long, Buy, 07/09/2021 13:29:07, 51045.78, Exit Long, Buy, 07/09/2021 13:29:19, 51046.50000000, BUY Percent Stop Loss
1, Entry Long, Buy, 07/09/2021 13:48:08, 50827.07, Exit Long, Buy, 07/09/2021 13:48:18, 50851.67000000, BUY Percent Stop Loss
38, Entry Short, Sell, 07/09/2021 13:51:11, 50806.13, Exit Short, Sell, 07/09/2021 13:51:21, 50790.32000000, SELL Percent Trail
60, Entry Long, Buy, 07/09/2021 13:53:07, 50808.04, Exit Long, Buy, 07/09/2021 13:53:17, 50804.83000000, BUY Percent Stop Loss
91, Entry Long, Buy, 07/09/2021 13:56:06, 50725.61, Exit Long, Buy, 07/09/2021 13:56:18, 50758.50000000, BUY Percent Stop Loss
165, Entry Long, Buy, 07/09/2021 14:02:02, 50527.77, Exit Long, Buy, 07/09/2021 14:02:13, 50611.93000000, BUY Percent Stop Loss
191, Entry Short, Sell, 07/09/2021 14:05:05, 50732.43, Exit Short, Sell, 07/09/2021 14:05:15, 50749.17000000, SELL Percent Stop Loss
208, Entry Long, Buy, 07/09/2021 14:07:01, 50768.61, Exit Long, Buy, 07/09/2021 14:07:12, 50763.99000000, BUY Percent Trail
269, Entry Long, Buy, 07/09/2021 14:13:03, 50597.87, Exit Long, Buy, 07/09/2021 14:13:16, 50565.60000000, BUY Percent Trail
317, Entry Long, Buy, 07/09/2021 14:18:06, 50423.56, Exit Long, Buy, 07/09/2021 14:18:18, 50377.62000000, BUY Percent Trail
347, Entry Long, Buy, 07/09/2021 14:21:05, 50319.95, Exit Long, Buy, 07/09/2021 14:21:14, 50327.14000000, BUY Percent Stop Loss
400, Entry Short, Sell, 07/09/2021 14:26:08, 50114.93, Exit Short, Sell, 07/09/2021 14:26:21, 50180.85000000, SELL Percent Stop Loss
453, Entry Long, Buy, 07/09/2021 14:32:06, 49972.21, Exit Long, Buy, 07/09/2021 14:32:18, 50012.32000000, BUY Percent Stop Loss
474, Entry Short, Sell, 07/09/2021 14:34:03, 50081.56, Exit Short, Sell, 07/09/2021 14:34:26, 50167.60000000, SELL Percent Stop Loss
552, Entry Long, Buy, 07/09/2021 14:38:06, 50091.18, Exit Long, Buy, 07/09/2021 14:38:18, 50098.07000000, BUY Percent Stop Loss
601, Entry Long, Buy, 07/09/2021 14:43:09, 49930.83, Exit Long, Buy, 07/09/2021 14:43:19, 49871.70000000, BUY Percent Stop Loss
690, Entry Long, Buy, 07/09/2021 14:51:07, 49000.0, Exit Long, Buy, 07/09/2021 14:51:16, 49001.78000000, BUY Percent Stop Loss
11, Entry Short, Sell, 07/09/2021 14:55:08, 49111.79, Exit Short, Sell, 07/09/2021 14:55:19, 49126.99000000, SELL Percent Trail
69, Entry Long, Buy, 07/09/2021 15:01:06, 47608.51, Exit Long, Buy, 07/09/2021 15:01:18, 47403.87000000, BUY Percent Trail
104, Entry Short, Sell, 07/09/2021 15:05:09, 47773.96, Exit Short, Sell, 07/09/2021 15:05:21, 47469.08000000, SELL Percent Trail
155, Entry Long, Buy, 07/09/2021 15:11:06, 44311.65, Exit Long, Buy, 07/09/2021 15:11:19, 44677.65000000, BUY Percent Stop Loss
187, Entry Short, Sell, 07/09/2021 15:15:08, 45700.0, Exit Short, Sell, 07/09/2021 15:15:22, 45521.83000000, SELL Percent Trail
199, Entry Long, Buy, 07/09/2021 15:17:04, 46274.99, Exit Long, Buy, 07/09/2021 15:17:16, 46427.16000000, BUY Percent Stop Loss
220, Entry Short, Sell, 07/09/2021 15:21:39, 47062.21, Exit Short, Sell, 07/09/2021 15:21:51, 46987.09000000, SELL Percent Trail
239, Entry Short, Sell, 07/09/2021 15:24:04, 46968.17, Exit Short, Sell, 07/09/2021 15:24:16, 46937.77000000, SELL Percent Stop Loss
265, Entry Long, Buy, 07/09/2021 15:27:06, 47026.28, Exit Long, Buy, 07/09/2021 15:27:18, 47005.26000000, BUY Percent Stop Loss
280, Entry Short, Sell, 07/09/2021 15:29:04, 46865.7, Exit Short, Sell, 07/09/2021 15:29:17, 46750.82000000, SELL Percent Trail
295, Entry Long, Buy, 07/09/2021 15:31:04, 46745.37, Exit Long, Buy, 07/09/2021 15:31:16, 46730.87000000, BUY Percent Trail
311, Entry Short, Sell, 07/09/2021 15:33:07, 46505.23, Exit Short, Sell, 07/09/2021 15:33:19, 46578.33000000, SELL Percent Stop Loss
337, Entry Short, Sell, 07/09/2021 15:36:05, 46709.78, Exit Short, Sell, 07/09/2021 15:36:17, 46760.01000000, SELL Percent Stop Loss
411, Entry Short, Sell, 07/09/2021 15:44:04, 47326.25, Exit Short, Sell, 07/09/2021 15:44:16, 47375.15000000, SELL Percent Stop Loss
483, Entry Short, Sell, 07/09/2021 15:51:09, 46588.74, Exit Short, Sell, 07/09/2021 15:51:20, 46424.47000000, SELL Percent Trail
497, Entry Long, Buy, 07/09/2021 15:53:08, 46617.69, Exit Long, Buy, 07/09/2021 15:53:18, 46620.96000000, BUY Percent Stop Loss
514, Entry Short, Sell, 07/09/2021 15:55:07, 46561.23, Exit Short, Sell, 07/09/2021 15:55:19, 46661.49000000, SELL Percent Stop Loss
11, Entry Long, Buy, 08/09/2021 09:26:06, 40836.42, Exit Long, Buy, 08/09/2021 09:26:15, 40836.42000000, BUY Percent Stop Loss
103, Entry Short, Sell, 08/09/2021 09:33:05, 46022.34, Exit Short, Sell, 08/09/2021 09:33:16, 46042.27000000, SELL Percent Stop Loss
198, Entry Long, Buy, 08/09/2021 09:37:06, 46027.39, Exit Long, Buy, 08/09/2021 09:37:11, 46020.58000000, BUY Percent Stop Loss
361, Entry Long, Buy, 08/09/2021 09:45:08, 46088.05, Exit Long, Buy, 08/09/2021 09:45:20, 46139.97000000, BUY Percent Stop Loss
374, Entry Short, Sell, 08/09/2021 09:47:03, 46128.94, Exit Short, Sell, 08/09/2021 09:47:24, 46090.03000000, SELL Percent Trail
